name,category,color,tags,gender,image_url,version
Black Formal Socks,accessory,black,formal|classic,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Black%20Formal%20Socks.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=yjnB6mS%2BTNejwht9tQ66AijfDCvW5E2P%2BmhQb%2FoFpnke5tkQoVBCq1y9yI4CIzrw1JuiEldTB7Lu%2FJNkqF%2FWkC2DNZwkyOP%2Fu9M3QqY17HsG6asl5ELe7zZdkXw2m0NfCnCRI3%2BrWVN%2Bxqdcr3or391hdZHqLNfe4yq9aPmcsqbqWQD5JQuey%2FP6Yk636YQ97wEfPPqcvZ0ZBkRxtmz8YOw9oosUkEhv9OBdCEeAokFBkilOyWk68ux2xTIutbwy%2B9Chbv3078Z8VYbZbh4Q42AC19bcJEyyVxjGBw%2BDTDEcq1bUGfJn9xBntEW16Q1wxmNJPEc5sPv69gz9Snmhsw%3D%3D,v2
Black Hoodie,top,black,comfort,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Black%20Hoodie.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=yzwEtZohEmIiI1b0sw6GHKJ%2BZ8NFBFeJSUFi9gBSxCqnhegCupyTZK33VEfLHSmIhEmct77thWKirx7mVHRKgl1CA7sgxHIJRLzzNhWKlaYzyUtehtqBngOzjUukE0NcjJBsFfm4dbcfjog8hzrGsNzN4Qcof%2FPip7a36P7ENZUdal6NRIvpkdtnHEK536gwuNKeSExe0zZyChVm8A%2FUJB7U80NsM%2BAIm0g%2FXqjMCcu5E4YeM5ZOWmCQl3zdzo%2Bn1wgiqu2R9%2Fo%2FbvpMcS90rOq2qnARCTgURQ0fbLKQWbxxmw%2Fe%2BkZUpmqGm6WycMJ%2B4iFRYOijMZ5XqN2hqLyNIQ%3D%3D,v2
Black Jeans,bottom,black,,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Black%20Jeans.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=kOw%2F%2B9GauPlQs%2BjSe4WYIZ%2BeL%2FUTHF2NBy3mpvg1NJIylAFIkcNdRxEG8b1Q%2F12y2TYGpKElWdEV66CL3NXqVulQd8MTX9zCuY6eytUuvSZUI%2B6X6Pdsd1Lt9Y6HHOeGNH5oMwmFa%2BbTPiLrbWnzwvpCHShlIOayJ0x4ggDz%2Bvy65imlGkqO21P2Tx4W0bI94nwqodNJ5%2BTeHlSEcTjfQOei5HRmECXwH5%2F%2Fj1Prh0BEJDYPyQy8%2BmNxTAkofgedWL%2F0OdXUskWzt%2BOZ%2BAtLxXSoZ7Bp0Tsfhlkya849dGS40RSc3D5uh39AFgPa5TEWB92NFnzb8KmD1ctBLxL55g%3D%3D,v2
Black Joggers,bottom,black,comfort,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Black%20Joggers.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=Ykg5TDv07RWZqUyUT%2FwxCW6e98bH0591TJ%2FekAn7qRKQlQ9aHPdQtLVpa3WMthEWeDn98VqB2%2BEEM1Ier8bFKgetoWPi2DZCUfm5DVq1RQtIm2Y53SGagawTl7LhyR6QePYmRaBqmhGXTojIDfCQotjbt%2F4nlPGO3CdjDNbuOoRz2Z8C2v%2FERXDKPpKwazH1k3V%2BeXWftvwJN9XFU7%2Ft41zjTX2t1CZAy5eRZIgqxaUZFMdOzX86J%2FtrHm33UjLrGR808BbbytEFa%2BU9wxaXgAhNXci0W5mDpiBLtihkmXvaetxcLPPMC9930hAB7dpl0zz0WzwxA55ZkWvc33eDuA%3D%3D,v2
Black Leather Belt,accessory,black,classic,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Black%20Leather%20Belt.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=CYYIO%2Bf3Lm4emzMRB8wG7%2BzpmDTLRB54uEjWquVXCuM%2FDec05N8VxCVbOKTGpz35WiIygtaUiMZzesnYfEasZcm4ITYJkFBPpvKBKQh3UrOHPtz2Yk9avro0NSW1Q8wIh%2BxWOZREei7bSshs5F61d%2BTmWbXYlbjauy%2FqJzc0lguGcUEfyup2T7nMQhOrya%2Bh%2FcDm3VsHwsZGJM46XqJKcdfvEEoIYwbw1mnqRI45LYun9NMR5rViU%2BMNNTNvccQdkWhV245jISHsWPQtr5PMKGwKb9hHsAmnadPXlODyHZZb5usSwP1sR6KBSa9BeN5yxyUz78yE%2BRl4qk3%2BT3KiQQ%3D%3D,v2
Black Polo T-Shirt,top,black,,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Black%20Polo%20T-Shirt.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=wVLUQfNavGNeFCykSZ%2Fpcu4xppogTA02IOOs68rqIf0%2Fv92pxIY6QyqjCn1vGXxp%2B1qU6HxuXKBPKDklZl9rvvLumw6KPS30SY61iVgq%2BfDrkA%2F8r9WpHNVF6vRG69U4eohHuvC4ZXpleO8FvYLSX%2B0FvVNBU9pWJV1v27SWoDBkFyGFxt1iwX1Xr5TuKMax2YClja2StHFroooMxuC0xIvz7updC8aLTQQbFNYOBzNVm2PNKL%2FqsfYijJHR3oGpm3q6bLsFHtc3FxcCrrN1XsujjSMRWmTh6FdoWyu14HrByBXaRKaVPAC00McMz5O4Zs0zF83ke8Au9xNNudXw2g%3D%3D,v2
Black Sneakers,shoes,black,everyday,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Black%20Sneakers.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=fq9WMFeoWTfKMczT5XEOgFSAjsyO%2B53v0ETzF6T2Li0n0qORG%2F798UDRgr7KHi0%2FT8wsaVrauZ4dxWuhQ9Fn7WBF%2FLFfThPMiIC5%2FOpCQLR0t0m%2FmydftSILbPgFZdSoiczqiFA31uU0x%2B7h7HB3VSgj%2Bhk1%2F1YEl6aLtV9Idcxd4uC8w41KIxWN0XcCCF1kIbXw%2BWAAp5Tl95Ws%2ByMswcKXfGKJqf1%2FAiyap4hx0NKJVOnNUCCRDsCGwFEZk8guQl8xKComaNgo4omR5ny%2B8%2FL8za4oA7vMvBxoXtORAoTKkX%2B4KJspfyO0UJ4%2BRhSjBKL1JYbb63UmXsJ5YBmXFg%3D%3D,v2
Black Trousers,bottom,black,,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Black%20Trousers.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=zjQwsu8rfqEwXFKCjWqKM4z1FD32ObLptiLeL9kYg5Q370IUkgiQVgzohxWOlK8dNkmOvA4DIZQaDM4ScvIcj7UofIaArfFLKBKM%2FBBnG92HvxcXIh8Jxm%2F%2Fj6eQhqb%2BZh99tO%2Fk5jKA%2FUUQcxLxUuMzVar1pGbxpXDVtgTYHu7Juheeh5wRWBdN4B9TIhsjj38yFf3CUkNLVY21oxYFUc6sIIxvuYBS%2BN1rDkZaEunpdXfwDCtWdY%2BZXlcL9wbrsjA3xiIR2AtWNitV7hwuBhoXxG1i2Ao5IGEn7H%2BbY%2FN7f5ZxNv4WdRQwJ2ETtxm1hoflYpP75c2jlBxkh0bHsQ%3D%3D,v2
Blue Denim Jacket,outerwear,blue,layering,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Blue%20Denim%20Jacket.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=SPTbs%2BhMoNoITI24g0ByK%2B5%2FrGk0x1W%2FDyhNw27DGoPV3%2Fu5GDdn%2BE26F220nsADBPVrG7fRvWbx7sRigiV%2Bx5vw8q2Om6fa8CIA2ztUfyKIIK%2BRezm3hyZ8JYbCNnGX1aT6wePCS3iXJSCB3%2Bmm%2FAwpjYiS3gfDcmw53FYB68%2Bmy%2B5GfRKZNF8KqhzhZVpEZVRnSZ57S7tAQiyXyW0XOll8Gzq5gW717TdhFgHHLFkw493GKp4K1sufAUuDenSeezMBMCDtVhBF%2B4pgvjuj7IqxXvGA6Wx8x2efFiJzI7BKyUHCOZ4F7dRgC4W0zJXSfc5sJLyZovmP3yW1rfwFaw%3D%3D,v2
Blue Straight-Fit Jeans,bottom,blue,,male,https://storage.googleapis.com/wowapp1406.firebasestorage.app/staples_male_v2/Blue%20Straight-Fit%20Jeans.png?GoogleAccessId=firebase-adminsdk-fbsvc%40wowapp1406.iam.gserviceaccount.com&Expires=2082758400&Signature=rolYLCEJl%2FG9oZNVUYBPhB3mIUE74ur8Ihh5JtnsbCupeBAukYp8zKzSYRwiG1ZHmQSiK%2BIzO68rKE2XJ8nm9qsOJFzTAKd%2BLhTXctIsG3Gi1a%2B9fjfYyzNPB12chefsL%2F57U1%2Fc8v5g%2BxkKwlpJqsl5g877J7asmcjt7LfQWqyUL3e1GO%2FRT3WIxwjJN2%2B4yk6p0cftTwz43XKPFK6GOO1gdKRGyA48MXQcoBIRPf6FZFq%2BpaONkaIUyOpSMYdR5jivUC6SGoHBZTvN32Srr0zbcoxD2OsZ4ecaCE8LyZrz1lfaszv9OlSaY0%2FYkGQtbPT7FbFCRk8rFgalNiQgBA%3D%3D,v2
